service_id,date,exception_type
20586,20160802,2
20586,20160803,2
20586,20160804,2
20586,20160805,2
20586,20160806,2
20586,20160807,2
20586,20160808,2
20586,20160809,2
20586,20160810,2
20586,20160811,2
20586,20160812,2
20586,20160813,2
20586,20160814,2
20586,20160815,2
20586,20160816,2
20586,20160817,2
20586,20160818,2
20586,20160819,2
20586,20160820,2
20586,20160821,2
20586,20160822,2
20586,20160823,2
20586,20160824,2
20586,20160825,2
20586,20160826,2
20586,20160827,2
20586,20160828,2
20586,20160829,2
20586,20160830,2
20586,20160831,2
20586,20161224,2
20586,20161225,2
20586,20161226,2
20593,20160101,2
20593,20160224,2
20593,20160325,2
20593,20160327,2
20593,20160501,2
20593,20160515,2
20593,20160623,2
20593,20160624,2
20593,20160820,2
20593,20161224,2
20593,20161225,2
20593,20161226,2
20594,20160101,2
20594,20160224,2
20594,20160325,2
20594,20160327,2
20594,20160501,2
20594,20160515,2
20594,20160623,2
20594,20160624,2
20594,20160820,2
20594,20161224,2
20594,20161225,2
20594,20161226,2
20601,20160101,2
20601,20160224,2
20601,20160325,2
20601,20160327,2
20601,20160501,2
20601,20160515,2
20601,20160623,2
20601,20160624,2
20601,20160820,2
20601,20161224,2
20601,20161225,2
20601,20161226,2
20602,20160101,2
20602,20160224,2
20602,20160325,2
20602,20160327,2
20602,20160501,2
20602,20160515,2
20602,20160623,2
20602,20160624,2
20602,20160820,2
20602,20161224,2
20602,20161225,2
20602,20161226,2
20603,20160101,2
20603,20160224,2
20603,20160325,2
20603,20160327,2
20603,20160501,2
20603,20160515,2
20603,20160623,2
20603,20160624,2
20603,20160820,2
20603,20161224,2
20603,20161225,2
20603,20161226,2
20604,20160101,2
20604,20160224,2
20604,20160325,2
20604,20160327,2
20604,20160501,2
20604,20160515,2
20604,20160623,2
20604,20160624,2
20604,20160820,2
20604,20161224,2
20604,20161225,2
20604,20161226,2
20606,20160101,2
20606,20160224,2
20606,20160325,2
20606,20160623,2
20606,20160624,2
20606,20161226,2
20607,20160101,2
20607,20160224,2
20607,20160325,2
20607,20160623,2
20607,20160624,2
20607,20160820,2
20607,20161224,2
20607,20161226,2
20616,20160101,2
20616,20160224,2
20616,20160325,2
20616,20160327,2
20616,20160501,2
20616,20160515,2
20616,20160623,2
20616,20160624,2
20616,20160820,2
20616,20161224,2
20616,20161225,2
20616,20161226,2
20617,20160101,2
20617,20160224,2
20617,20160325,2
20617,20160327,2
20617,20160501,2
20617,20160515,2
20617,20160623,2
20617,20160624,2
20617,20160820,2
20617,20161224,2
20617,20161225,2
20617,20161226,2
20618,20160101,2
20618,20160224,2
20618,20160325,2
20618,20160327,2
20618,20160501,2
20618,20160515,2
20618,20160623,2
20618,20160624,2
20618,20160820,2
20618,20161224,2
20618,20161225,2
20618,20161226,2
20619,20160101,2
20619,20160224,2
20619,20160325,2
20619,20160327,2
20619,20160501,2
20619,20160515,2
20619,20160623,2
20619,20160624,2
20619,20160820,2
20619,20161224,2
20619,20161225,2
20619,20161226,2
20620,20160101,2
20620,20160224,2
20620,20160325,2
20620,20160327,2
20620,20160501,2
20620,20160515,2
20620,20160623,2
20620,20160624,2
20620,20160820,2
20620,20161224,2
20620,20161225,2
20620,20161226,2
20622,20160101,2
20622,20160224,2
20622,20160325,2
20622,20160327,2
20622,20160501,2
20622,20160515,2
20622,20160623,2
20622,20160624,2
20622,20160820,2
20622,20161224,2
20622,20161225,2
20622,20161226,2
20623,20160101,2
20623,20160224,2
20623,20160325,2
20623,20160327,2
20623,20160501,2
20623,20160515,2
20623,20160623,2
20623,20160624,2
20623,20160820,2
20623,20161224,2
20623,20161225,2
20623,20161226,2
20658,20160101,2
20658,20160111,2
20658,20160112,2
20658,20160113,2
20658,20160114,2
20658,20160115,2
20658,20160118,2
20658,20160119,2
20658,20160120,2
20658,20160121,2
20658,20160122,2
20658,20160125,2
20658,20160126,2
20658,20160127,2
20658,20160128,2
20658,20160129,2
20658,20160201,2
20658,20160202,2
20658,20160203,2
20658,20160204,2
20658,20160205,2
20658,20160208,2
20658,20160209,2
20658,20160210,2
20658,20160211,2
20658,20160212,2
20658,20160215,2
20658,20160216,2
20658,20160217,2
20658,20160218,2
20658,20160219,2
20658,20160222,2
20658,20160223,2
20658,20160224,2
20658,20160225,2
20658,20160226,2
20658,20160229,2
20658,20160301,2
20658,20160302,2
20658,20160303,2
20658,20160304,2
20658,20160307,2
20658,20160308,2
20658,20160309,2
20658,20160310,2
20658,20160311,2
20658,20160321,2
20658,20160322,2
20658,20160323,2
20658,20160324,2
20658,20160325,2
20658,20160327,2
20658,20160328,2
20658,20160329,2
20658,20160330,2
20658,20160331,2
20658,20160401,2
20658,20160404,2
20658,20160405,2
20658,20160406,2
20658,20160407,2
20658,20160408,2
20658,20160411,2
20658,20160412,2
20658,20160413,2
20658,20160414,2
20658,20160415,2
20658,20160418,2
20658,20160419,2
20658,20160420,2
20658,20160421,2
20658,20160422,2
20658,20160425,2
20658,20160426,2
20658,20160427,2
20658,20160428,2
20658,20160429,2
20658,20160501,2
20658,20160502,2
20658,20160503,2
20658,20160504,2
20658,20160505,2
20658,20160506,2
20658,20160509,2
20658,20160510,2
20658,20160511,2
20658,20160512,2
20658,20160513,2
20658,20160515,2
20658,20160516,2
20658,20160517,2
20658,20160518,2
20658,20160519,2
20658,20160520,2
20658,20160523,2
20658,20160524,2
20658,20160525,2
20658,20160526,2
20658,20160527,2
20658,20160530,2
20658,20160531,2
20658,20160601,2
20658,20160602,2
20658,20160603,2
20658,20160623,2
20658,20160624,2
20658,20160820,2
20658,20161224,2
20658,20161225,2
20658,20161226,2
20659,20160101,2
20659,20160111,2
20659,20160112,2
20659,20160113,2
20659,20160114,2
20659,20160115,2
20659,20160118,2
20659,20160119,2
20659,20160120,2
20659,20160121,2
20659,20160122,2
20659,20160125,2
20659,20160126,2
20659,20160127,2
20659,20160128,2
20659,20160129,2
20659,20160201,2
20659,20160202,2
20659,20160203,2
20659,20160204,2
20659,20160205,2
20659,20160208,2
20659,20160209,2
20659,20160210,2
20659,20160211,2
20659,20160212,2
20659,20160215,2
20659,20160216,2
20659,20160217,2
20659,20160218,2
20659,20160219,2
20659,20160222,2
20659,20160223,2
20659,20160224,2
20659,20160225,2
20659,20160226,2
20659,20160229,2
20659,20160301,2
20659,20160302,2
20659,20160303,2
20659,20160304,2
20659,20160307,2
20659,20160308,2
20659,20160309,2
20659,20160310,2
20659,20160311,2
20659,20160321,2
20659,20160322,2
20659,20160323,2
20659,20160324,2
20659,20160325,2
20659,20160327,2
20659,20160328,2
20659,20160329,2
20659,20160330,2
20659,20160331,2
20659,20160401,2
20659,20160404,2
20659,20160405,2
20659,20160406,2
20659,20160407,2
20659,20160408,2
20659,20160411,2
20659,20160412,2
20659,20160413,2
20659,20160414,2
20659,20160415,2
20659,20160418,2
20659,20160419,2
20659,20160420,2
20659,20160421,2
20659,20160422,2
20659,20160425,2
20659,20160426,2
20659,20160427,2
20659,20160428,2
20659,20160429,2
20659,20160501,2
20659,20160502,2
20659,20160503,2
20659,20160504,2
20659,20160505,2
20659,20160506,2
20659,20160509,2
20659,20160510,2
20659,20160511,2
20659,20160512,2
20659,20160513,2
20659,20160515,2
20659,20160516,2
20659,20160517,2
20659,20160518,2
20659,20160519,2
20659,20160520,2
20659,20160523,2
20659,20160524,2
20659,20160525,2
20659,20160526,2
20659,20160527,2
20659,20160530,2
20659,20160531,2
20659,20160601,2
20659,20160602,2
20659,20160603,2
20659,20160623,2
20659,20160624,2
20659,20160820,2
20659,20161224,2
20659,20161225,2
20659,20161226,2
20663,20160101,2
20663,20160224,2
20663,20160325,2
20663,20160623,2
20663,20160624,2
20663,20161226,2
20664,20160101,1
20664,20160224,1
20664,20160325,1
20664,20160623,1
20664,20160624,1
20664,20161226,1
20678,20160101,2
20678,20160224,2
20678,20160325,2
20678,20160327,2
20678,20160501,2
20678,20160515,2
20678,20160623,2
20678,20160624,2
20678,20160701,2
20678,20160702,2
20678,20160703,2
20678,20160704,2
20678,20160705,2
20678,20160706,2
20678,20160707,2
20678,20160708,2
20678,20160709,2
20678,20160710,2
20678,20160711,2
20678,20160712,2
20678,20160713,2
20678,20160714,2
20678,20160715,2
20678,20160716,2
20678,20160717,2
20678,20160718,2
20678,20160719,2
20678,20160720,2
20678,20160721,2
20678,20160722,2
20678,20160723,2
20678,20160724,2
20678,20160725,2
20678,20160726,2
20678,20160727,2
20678,20160728,2
20678,20160729,2
20678,20160730,2
20678,20160731,2
20678,20160801,2
20678,20160802,2
20678,20160803,2
20678,20160804,2
20678,20160805,2
20678,20160806,2
20678,20160807,2
20678,20160808,2
20678,20160809,2
20678,20160810,2
20678,20160811,2
20678,20160812,2
20678,20160813,2
20678,20160814,2
