route_id,agency_id,route_short_name,route_long_name,route_type,route_color,competent_authority
ea79cda912dc1212a78496ddf0393b06,50,115,Jõhvi - Sillamäe,3,00933C,Ida-Viru MV
c8893a27b935848950ffbf1f12709466,60,116,Tartu - Laeva,3,00933C,Tartu MV
cedb523f0768f652ef28ffb6f807a466,99,116,Tallinn - Raku - Luige - Kiili - Nabala - Sookaera,3,00933C,Harjumaa ÜTK
8573232d42bf6e724b5f28630f12aa2a,50,116,Kuremäe - Jõhvi,3,00933C,Ida-Viru MV
5982cd20c18addee2864c7b3807856b9,60,117,Tartu - Laeva-(Puurmani),3,00933C,Tartu MV
463a7928b5307ba40e13c2aed8fd1c65,27,117,Savala - Kiviõli - Kohtla-Järve - Jõhvi,3,00933C,Ida-Viru MV
366c2b12e8ff6937fc89d83ce829d7cb,99,117,Tallinn - Saku - Kiisa - Tagadi - Männiku,3,00933C,Harjumaa ÜTK
c8c0699b4919f9c4aa86c2fc558b7ca4,99,117A,Tallinn - Saku,3,00933C,Harjumaa ÜTK
027d405eec4b8c9002279efad5c47f3a,100046,118,Tallinn - Harku - Vääna,3,00933C,Harjumaa ÜTK
4a44d96f1cafdabc75ad85f970d99f74,60,118,Laeva - Tartu,3,00933C,Tartu MV
11a690fe3562b003b9a4f3f869e87f30,50,118,Kuremäe - Pagari - Jõhvi,3,00933C,Ida-Viru MV
